"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57"
"vp_diagnostics_Image.original_Minimum_1",0.0685911653870004,0.00109842117825269,0.0324642489909906,0.0458089123447234,0.0213537051614319,0.010396122606602,0.0133137670786821,0.0407909967945379,0.00729306891678726,-0.0142811864676777,0.0151002526928241,-0.0432280780944574,-0.0112329856850759,-0.00352529189234225,-0.0246636769669888,0.0422614217412288,-0.0481401755983173,0.0663127550080101,-0.0468638493400066,-0.00220464412800165,-0.0267526852586848,-0.0194425308021661,0.0403739092089212,0.0682751481236438,-0.0346384656820352,0.00412542286509792,-0.010984137785635,-0.0622258409461927,-0.0331040714434156,-0.0455816985947051,-0.0933820657775748,-0.113490372448936,0.0684379365424572,0.0153263629006754,0.0144086135525402,0.0377220322022804,0.0374446949519969,0.0181813031558036,0.150390431847215,0.0041048183592048,-0.000642099560661829,-0.0686044195012161,-0.0330907971411794,0.0171167007492582,-0.00875385718590896,0.0297898404509176,0.0537913278933248,0.0311750645387213,-0.106315394722397,0.0188047790045072,0.0429071598273307,0.0637462709420553,-0.0270976218627383,-0.0429469051658839,-0.028003588707702,0.0717781945477836,-0.00395010046686441
"vp_diagnostics_Image.original_Minimum_2",0.0690642004209877,0.00294556591949178,0.0271344078924828,0.0453272383430562,0.0283718282365781,0.0154379141001385,0.00585770833898934,0.034760389702212,0.0140536275884734,0.000751070874804112,0.0165420169547834,-0.0167267340017402,-0.0319733287721029,-0.0098542972474844,-0.0451389469860176,0.0362347811032726,-0.0616717062116568,0.0122490023322229,-0.0194664708586366,0.0665753076023549,0.0342766487452784,0.0212946694246785,0.0129639569913422,0.0456182109333041,-0.00646300166045256,0.0216262120548954,0.00307298496733964,-0.0788004059017828,-0.0560654171943278,0.0094140300801847,-0.109272655349974,-0.114330226087593,0.0662169704596884,0.0286420899398186,0.0113567305236969,0.0628492967957249,0.0101044058215158,0.0229979982100392,0.157275155337493,0.0142736523191622,-0.0260982125112489,-0.0981922160382352,0.0203094128349794,-0.0108026517357711,-0.0278271836075739,0.00634408430254725,-0.0331781589207891,0.128835849451359,-0.125754266007275,-0.0003228919565363,0.0553067932107894,0.0921871201721364,-0.0422381875929283,0.0129006608185106,0.0478278416408644,0.101733430709676,-0.101563190921691
"fp_diagnostics_Image.original_Maximum_1",-0.0198603708754988,0.00400308292780979,0.00745587752958794,-0.0211760008175958,0.0164098763882375,-0.0469037551678366,0.0029779321071302,-0.0348451948098827,0.00231069869570925,-0.0338457275313293,-0.127224723670418,0.0453202311356347,0.138734705300161,-0.0146135415923342,-0.067717140849949,0.147769177950737,-0.0501836590608858,-0.0362927422917089,0.0228415505288625,-0.0513036627114772,0.0857834984102693,-0.046940217779175,-0.0915891949294558,-0.0516769616599602,0.050413733381988,0.0585353801063119,-0.00891871509581156,0.0885237854348971,-0.0543143606278374,-0.0484103921377975,0.0349394912393547,-0.0670312828834767,-0.00639614070316896,0.0533842199117458,-0.112716615740255,0.145180358021817,0.00919985703659449,0.0391182828972319,-0.0246268799516552,0.00548713118878441,-0.0182287300391214,-0.169097317559872,-0.0550310989239317,-0.000186610564489616,-0.00559370706802016,-0.0421482096895748,0.0275475325030687,0.0400095714558543,-0.0963610220044052,-0.0480661205949568,-0.0834593020353157,-0.0526432760839084,0.0810297035974696,0.0471566435711672,-0.027204058945097,-0.0488372263661611,0.180137684014607
"ktrans_diagnostics_Image.original_Maximum_1",-0.0449243574852374,-0.018404088476003,-0.00693471131298875,-0.0421844035851826,-0.0163628606291307,0.0326847588109761,0.0652662175101182,-0.0261931154011818,-0.0524152526872544,0.0997383252489867,0.0364217987513763,-0.0121596170926256,0.0901572872737664,0.00914699521732644,-0.0225950098253259,0.0250211331216775,0.0449104494163554,-0.0392659511619907,-0.00498425245510258,0.0889060625892747,0.0095140644689569,0.0272398830512368,-0.0989051652517981,0.0103076232824897,0.0230250838282628,0.0285697832680267,0.0198203302689948,-0.0405048884863044,0.133872983736299,-0.019146471093481,0.0319894469282113,-0.0951889570504707,-0.0192545051198568,-0.0316999812527132,-0.123065823349239,0.0146170744550664,-0.0547627587096964,-0.0298569091159327,-0.0083351291309855,0.0280040114699014,0.0214096177158992,0.0363162767702891,0.0103502050093323,-0.0443546386764056,-0.0399938012176491,0.00910784425618117,-0.0700478998325505,0.03596801180829,-0.0752860105212235,-0.0337784897088214,-0.0705821602832087,-0.033965011506249,0.0292885778833171,-0.00876698366565722,-0.0609972836526426,0.006953945068505,-0.0335919186277916
"tau_diagnostics_Image.original_Maximum_1",-0.0553196516612895,-0.00600021776438295,-0.0157298416275643,-0.0421748170722597,-0.0157929541017929,0.0109321716057251,0.0608102143200568,-0.0474815937249928,-0.0391022666566013,0.0321623717954413,0.00217076406466772,-0.0117361105867194,0.0653825331722774,0.0347943672434331,-0.0433553708211595,-0.0249121111791727,0.0787170125641532,-0.022840743931151,0.0220853868273526,0.0168610786332411,0.0751224299382673,0.0397168523659399,-0.0950069456480853,-0.0201455653370605,-0.0128511426062748,0.0242749581881214,0.0340060631928315,0.12047281763676,0.0689610814905917,0.00727942228047774,-0.156341971229516,-0.00968453040893117,-0.0269702555177103,-0.0918119058970054,0.11978163651507,-0.0492636487880641,0.0308196494746665,0.0036626651083911,0.0952703222787106,-0.0591030757535468,-0.0689204009735929,0.0705110517654626,0.0239741397757209,-0.0658996767162568,0.00412249701289874,0.0155645228213625,-0.00717549444874733,0.0563034863866618,-0.0733617467284291,-0.116205497538202,-0.0184288111000183,-0.0749168024663682,0.087940875591791,0.0219943269593891,-0.035064258433634,0.230614516370023,0.0520974581355347
"ve_diagnostics_Image.original_Maximum_1",-0.0163233271020283,-0.0233366662865987,-0.00580036560183886,-0.0144809652729488,-0.0157560341971253,0.0384130096740044,0.0280125057542225,-0.0088285292122669,-0.038669998763866,0.0873073256283805,0.0601633705368491,-0.0322190533883699,0.0414962671350426,0.0197110617346427,-0.000417067309206874,-0.0149831958875603,0.00666208688613843,-0.0569890212684083,0.0489517105903047,0.11881350925538,-0.0371171567959498,-0.0399946249461015,-0.133740899434032,0.0259698099133275,0.0227279768519629,0.148979246075259,-0.0372943279803201,-0.00931334962696492,0.236940126844407,-0.284748538432224,0.00922349978911203,-0.122909938311098,0.00313764789544917,-0.148342247987463,-0.128909687015889,0.0315901391509515,0.0131557829912561,0.123157832935353,-0.103247787711617,0.0834157947141964,-0.0692898161885406,0.0193394968126778,0.0114535249268671,0.0827173296317148,0.0325904898981166,0.0504316498042091,-0.0318159087694119,-0.0442005529552897,0.0233066964826036,0.0336210545630848,0.0643383098886453,0.0699372717722851,-0.0931712034801807,0.016352568880635,0.0764775936526206,0.0564311121796133,0.176960102548527
"vp_diagnostics_Image.original_Maximum_1",-0.0302357147827322,-0.010911413566633,0.00123897998380831,-0.0375976712743216,-0.0263835862436453,0.0396341824559324,0.0722900291052983,-0.0200041963693304,-0.0629244900674764,0.114338247543159,0.0638436191376559,-0.024022140712247,0.0602654411851828,0.00118199054719967,0.0216487325814779,-0.0157517137491712,0.0655273302181594,-0.061152007459312,-0.0258892695357338,0.129281464396066,-0.0280359271512288,0.00081258160938104,0.0151886976416539,0.0139681770181418,-0.0150339371579557,0.0693672065657057,-0.0276449012873492,-0.031981731847817,0.158756984815966,-0.016388838185142,-0.0524390801781446,-0.0559338321479795,0.0403081999637992,-0.0164553089384623,-0.0517797393534168,0.0616536055057844,-0.100013290662566,-0.0103426601998624,0.0151463346118041,0.0873329747222876,0.0464342047631362,-0.0164406265475411,0.0127099347291583,-0.0357917298502455,-0.0183514035984697,0.0261816709747039,0.116752191043573,-0.0552761377468915,0.0347484750470795,0.0253107819052668,0.0641133089482573,-0.0244556585767819,0.00818280078375037,0.0250110093851651,-0.108914392220868,0.0105329462985792,0.122321418786771
"fp_diagnostics_Image.original_Maximum_2",-0.0190866492195877,0.00343487257964617,0.00957678860281048,-0.0202491488670794,0.0149591928204172,-0.0493782705235137,0.00534669439154853,-0.0338851780715585,0.000532479827847725,-0.0378883645143138,-0.127381339324257,0.0385720293617671,0.14246478168696,-0.0143815400662405,-0.0629339037446871,0.150798463406753,-0.0503137640624464,-0.018780081522054,0.0153356296814352,-0.0670518915146087,0.0692407517828123,-0.0576331268042928,-0.085596225404003,-0.0437422725933331,0.0435595795088708,0.0538006434264247,-0.0150483193526529,0.0915702103171658,-0.0498273412215879,-0.0658101405683657,0.038280258169941,-0.0714825785698042,-0.00706445500015021,0.053430693866985,-0.113853499291564,0.139475355461905,0.0142179118746609,0.0346828845765663,-0.0295114528007566,-5.48898754372383e-05,-0.00921863729982551,-0.162847018268976,-0.0718769379532361,0.000112245692913744,-0.00545203276258296,-0.0505999987542853,0.0498630158025955,0.0205838677145741,-0.0901372040920533,-0.048823340200496,-0.0861749117739529,-0.0570599269347833,0.0885213911755065,0.0312007008387774,-0.0359668980365732,-0.045801520791112,0.119399474321279
"ktrans_diagnostics_Image.original_Maximum_2",-0.0439466940514776,-0.0206177786764228,-0.00170372141548095,-0.0404990010147168,-0.0198202755382719,0.0300425107783356,0.0731123515578586,-0.0237626682204759,-0.0583568271226518,0.0919008008521918,0.0379606046750972,-0.0282410933352139,0.101914674950242,0.0110990645192018,-0.00884724926113936,0.0271210609141567,0.0506994333215388,-0.00265540727700215,-0.0216831917313124,0.0505837730935164,-0.0236744233499715,-0.00194915987988815,-0.0817502451074081,0.0279125161061053,0.0103081632946491,0.0202947077558218,0.0166004963608313,-0.0289012750301705,0.146726861763631,-0.0529851157430896,0.0464517348391824,-0.10328562224344,-0.0159034467750962,-0.0409231565392628,-0.116983204134669,0.00612095375920128,-0.0388313968483868,-0.0336145638856711,-0.00487844144117492,0.0281883492156187,0.0347924275010839,0.0486577507478328,-0.0115457994996488,-0.0204438564429473,-0.0289703187640183,0.0496790736031919,-0.0237919499637333,-0.00798131414575798,-0.0794523256546125,-0.0158702369614081,-0.0600098921260772,-0.0547529921551481,0.0346529634161389,-0.0406199714974506,-0.120132343400364,-0.0214622420528213,-0.0851193996105148
"tau_diagnostics_Image.original_Maximum_2",-0.055993673027538,-0.00670998540064578,-0.0127337174985039,-0.0390179363840434,-0.0208954871933945,0.00428281427809379,0.0667865411437463,-0.0483242876583764,-0.0413231557424555,0.0282867089697091,0.0130078602027894,-0.0124493102488543,0.0676986796017059,0.0385340161578813,-0.033471035035999,-0.0112137593462928,0.0723500687170405,0.0313962775016898,-0.00290410653763875,-0.0259237352620913,0.0239073542281291,0.0166497894835806,-0.0873988886971539,-0.00558124954184691,-0.0309800414936554,0.0146746022216355,0.0126251990503402,0.146600967034456,0.0805610690060807,-0.0448281456613204,-0.151638433856635,-0.0127189709393224,-0.0185106008963625,-0.086822228590375,0.0985726538386899,-0.062986820275141,0.0247990483090572,-0.0205956528373959,0.0753746794777296,-0.0781019238151429,-0.0862148548502374,0.08102030780521,-0.000370978123293301,-0.0929790282038954,-0.0194817271084197,-0.0367348103581693,0.0629381657473325,0.0555469137153434,-0.0179884632020702,-0.115251102220645,-0.0303745181168788,-0.0741614518117806,0.0511242262023362,0.0883513372180866,-0.10895908645206,0.236222820270298,-0.057278460446361
"ve_diagnostics_Image.original_Maximum_2",-0.0159953439644766,-0.0240237115375437,-0.00433430856671535,-0.0128379538839227,-0.0169526003162812,0.0377256946757137,0.0299630255926639,-0.00773820089210439,-0.039282286425098,0.0853360954253951,0.0634066235951912,-0.0327871429227758,0.0436940454816477,0.0216089037015847,0.00480849525662275,-0.0122039381669055,0.00820725361943903,-0.040676038863507,0.041451741023072,0.0994942025618623,-0.0523378354437378,-0.0525918009083636,-0.126020927869814,0.0306689535459555,0.0189616749634873,0.147141245067623,-0.0371603973774899,0.000177449356562069,0.241087424518479,-0.298628240629498,0.0161446671346154,-0.123809630503772,0.00847575272665952,-0.154453470213281,-0.127532505837552,0.0316897191524966,0.0139520726018077,0.125182798690788,-0.0995101205847191,0.0877640095362402,-0.069400441870525,0.0226296428432131,0.00422598798943201,0.0911888668163038,0.0387254992806376,0.0767760393161123,-0.0152383833093552,-0.0630106801708191,0.0242473202911926,0.0425530693169808,0.0682136047696852,0.0565383339248353,-0.0945241403460199,0.00243099174008153,0.0516137697122797,0.040501386621772,-0.124338486218801
